# XRD pattern of silicon standard
#
#2theta	Intensity
20	140.365
20.03	110.101
20.06	108.636
20.09	99.0712
20.12	105.706
20.15	110.542
20.18	132.476
20.21	133.712
20.24	115.147
20.27	110.082
20.3	108.618
20.33	135.952
20.36	120.987
20.39	125.822
20.42	117.157
20.45	127.393
20.48	121.428
20.51	123.562
20.54	114.898
20.57	138.632
20.6	110.168
20.63	103.303
20.66	112.639
20.69	102.173
20.72	134.909
20.75	109.144
20.78	108.578
20.81	112.514
20.84	108.349
20.87	103.284
20.9	110.82
20.93	129.154
20.96	138.489
20.99	113.625
21.02	96.8596
21.05	116.995
21.08	114.63
21.11	114.966
21.14	109
21.17	121.036
21.2	113.27
21.23	95.6053
21.26	110.341
21.29	121.475
21.32	106.51
21.35	114.046
21.38	119.78
21.41	113.816
21.44	133.051
21.47	103.685
21.5	131.022
21.53	125.056
21.56	113.692
21.59	115.827
21.62	116.163
21.65	119.197
21.68	124.031
21.71	119.868
21.74	109.402
21.77	116.036
21.8	104.672
21.83	124.807
21.86	124.243
21.89	99.3776
21.92	122.212
21.95	118.048
21.98	130.083
22.01	125.019
22.04	107.353
22.07	109.489
22.1	113.423
22.13	114.658
22.16	114.994
22.19	106.328
22.22	107.565
22.25	96.1988
22.28	121.733
22.31	121.169
22.34	108.004
22.37	93.0394
22.4	123.075
22.43	118.909
22.46	109.345
22.49	142.079
22.52	108.216
22.55	96.85
22.58	107.084
22.61	113.721
22.64	116.755
22.67	118.891
22.7	121.925
22.73	101.56
22.76	116.296
22.79	109.43
22.82	114.267
22.85	104.701
22.88	98.7362
22.91	103.572
22.94	131.806
22.97	115.942
23	101.877
23.03	131.913
23.06	97.1469
23.09	103.781
23.12	138.317
23.15	128.752
23.18	104.788
23.21	112.322
23.24	117.157
23.27	130.093
23.3	119.627
23.33	115.462
23.36	101.398
23.39	110.733
23.42	107.469
23.45	121.303
23.48	118.939
23.51	106.673
23.54	115.109
23.57	121.744
23.6	104.978
23.63	109.815
23.66	104.749
23.69	109.583
23.72	100.019
23.75	87.7543
23.78	108.79
23.81	128.924
23.84	93.2596
23.87	116.095
23.9	114.63
23.93	107.766
23.96	117.1
23.99	120.026
24.02	93.2539
24.05	90.7807
24.08	116.208
24.11	103.834
24.14	118.462
24.17	103.388
24.2	109.015
24.23	136.243
24.26	104.97
24.29	110.596
24.32	118.922
24.35	114.65
24.38	129.277
24.41	96.2038
24.44	106.33
24.47	111.058
24.5	104.084
24.53	129.511
24.56	121.639
24.59	98.4654
24.62	113.992
24.65	123.219
24.68	123.447
24.71	112.873
24.74	108.6
24.77	104.328
24.8	121.654
24.83	115.581
24.86	122.107
24.89	128.635
24.92	119.862
24.95	106.588
24.98	116.716
25.01	100.743
25.04	123.469
25.07	115.596
25.1	121.224
25.13	117.85
25.16	121.676
25.19	113.805
25.22	118.531
25.25	108.858
25.28	112.684
25.31	126.411
25.34	104.138
25.37	126.865
25.4	108.193
25.43	112.919
25.46	127.546
25.49	116.072
25.52	110.9
25.55	119.227
25.58	123.953
25.61	116.082
25.64	133.408
25.67	120.135
25.7	110.461
25.73	119.688
25.76	117.216
25.79	104.842
25.82	152.77
25.85	116.996
25.88	110.023
25.91	109.35
25.94	107.778
25.97	108.004
26	121.731
26.03	111.157
26.06	108.685
26.09	107.112
26.12	106.438
26.15	119.264
26.18	106.892
26.21	112.519
26.24	111.846
26.27	111.173
26.3	115.9
26.33	117.832
26.36	117.065
26.39	107.297
26.42	102.031
26.45	109.363
26.48	109.496
26.51	111.428
26.54	121.46
26.57	135.994
26.6	121.726
26.63	144.36
26.66	123.792
26.69	135.625
26.72	128.557
26.75	123.291
26.78	133.322
26.81	150.556
26.84	127.288
26.87	138.22
26.9	123.953
26.93	124.986
26.96	131.419
26.99	141.451
27.02	118.183
27.05	115.617
27.08	125.649
27.11	123.982
27.14	125.014
27.17	132.346
27.2	137.88
27.23	124.511
27.26	129.145
27.29	125.677
27.32	115.911
27.35	134.042
27.38	125.176
27.41	110.908
27.44	129.042
27.47	135.474
27.5	113.106
27.53	141.139
27.56	138.571
27.59	140.505
27.62	141.536
27.65	145.27
27.68	143.602
27.71	141.934
27.74	157.368
27.77	167.399
27.8	154.033
27.83	162.265
27.86	173.197
27.89	181.43
27.92	176.163
27.95	178.096
27.98	198.928
28.01	212.562
28.04	191.994
28.07	244.327
28.1	256.159
28.13	285.093
28.16	323.024
28.19	436.558
28.22	480.79
28.25	606.022
28.28	708.755
28.31	782.688
28.34	1043.82
28.37	1791.85
28.4	4333.59
28.43	10614
28.46	10912.8
28.49	6561.49
28.52	6692.12
28.55	3342.45
28.58	1340.08
28.61	874.014
28.64	735.547
28.67	561.979
28.7	428.912
28.73	359.745
28.76	277.078
28.79	243.01
28.82	252.144
28.85	241.476
28.88	195.709
28.91	200.341
28.94	177.075
28.97	169.106
29	170.138
29.03	158.572
29.06	155.104
29.09	137.236
29.12	150.87
29.15	150.102
29.18	155.635
29.21	143.167
29.24	142.399
29.27	115.532
29.3	130.065
29.33	138.298
29.36	139.33
29.39	134.964
29.42	112.596
29.45	138.829
29.48	125.461
29.51	122.894
29.54	127.526
29.57	133.96
29.6	126.892
29.63	121.625
29.66	141.558
29.69	129.989
29.72	123.823
29.75	114.055
29.78	119.589
29.81	114.32
29.84	109.053
29.87	118.186
29.9	122.818
29.93	123.85
29.96	119.483
29.99	115.115
30.02	111.649
30.05	116.281
30.08	114.614
30.11	119.246
30.14	134.68
30.17	123.112
30.2	105.245
30.23	124.278
30.26	119.011
30.29	106.543
30.32	114.775
30.35	132.909
30.38	121.341
30.41	115.174
30.44	120.706
30.47	113.639
30.5	113.772
