#plot 2theta,I
#
#2theta	I
19.9	32
19.925	33
19.95	34
19.975	25
20	36
20.025	35
20.05	42
20.075	34
20.1	28
20.125	29
20.15	32
20.175	34
20.2	30
20.225	35
20.25	28
20.275	31
20.3	34
20.325	34
20.35	32
20.375	35
20.4	38
20.425	29
20.45	30
20.475	28
20.5	49
20.525	32
20.55	33
20.575	34
20.6	39
20.625	32
20.65	39
20.675	37
20.7	33
20.725	35
20.75	35
20.775	39
20.8	46
20.825	39
20.85	35
20.875	31
20.9	25
20.925	23
20.95	29
20.975	34
21	32
21.025	29
21.05	33
21.075	30
21.1	28
21.125	32
21.15	29
21.175	40
21.2	42
21.225	26
21.25	32
21.275	25
21.3	43
21.325	39
21.35	23
21.375	29
21.4	27
21.425	33
21.45	23
21.475	33
21.5	34
21.525	25
21.55	30
21.575	30
21.6	34
21.625	36
21.65	27
21.675	41
21.7	22
21.725	44
21.75	33
21.775	25
21.8	39
21.825	37
21.85	27
21.875	30
21.9	16
21.925	20
21.95	37
21.975	24
22	32
22.025	38
22.05	38
22.075	36
22.1	27
22.125	34
22.15	30
22.175	21
22.2	32
22.225	38
22.25	20
22.275	29
22.3	37
22.325	34
22.35	26
22.375	32
22.4	30
22.425	18
22.45	28
22.475	31
22.5	33
22.525	45
22.55	31
22.575	38
22.6	31
22.625	35
22.65	43
22.675	50
22.7	30
22.725	45
22.75	44
22.775	45
22.8	41
22.825	32
22.85	34
22.875	33
22.9	33
22.925	29
22.95	44
22.975	40
23	34
23.025	28
23.05	37
23.075	38
23.1	29
23.125	31
23.15	34
23.175	35
23.2	29
23.225	31
23.25	37
23.275	28
23.3	34
23.325	37
23.35	25
23.375	30
23.4	27
23.425	24
23.45	24
23.475	31
23.5	52
23.525	38
23.55	42
23.575	42
23.6	34
23.625	37
23.65	47
23.675	36
23.7	34
23.725	32
23.75	37
23.775	41
23.8	52
23.825	28
23.85	42
23.875	54
23.9	33
23.925	47
23.95	54
23.975	53
24	52
24.025	47
24.05	54
24.075	54
24.1	53
24.125	71
24.15	55
24.175	65
24.2	72
24.225	66
24.25	71
24.275	67
24.3	67
24.325	58
24.35	57
24.375	55
24.4	74
24.425	48
24.45	61
24.475	56
24.5	76
24.525	88
24.55	75
24.575	79
24.6	88
24.625	91
24.65	74
24.675	94
24.7	93
24.725	90
24.75	124
24.775	118
24.8	144
24.825	128
24.85	148
24.875	168
24.9	186
24.925	212
24.95	221
24.975	290
25	334
25.025	350
25.05	476
25.075	577
25.1	706
25.125	809
25.15	953
25.175	1097
25.2	1149
25.225	1326
25.25	1398
25.275	1412
25.3	1387
25.325	1208
25.35	1107
25.375	1020
25.4	776
25.425	691
25.45	552
25.475	489
25.5	371
25.525	334
25.55	271
25.575	253
25.6	222
25.625	189
25.65	168
25.675	134
25.7	119
25.725	128
25.75	107
25.775	111
25.8	86
25.825	88
25.85	97
25.875	95
25.9	79
25.925	82
25.95	67
25.975	59
26	83
26.025	64
26.05	60
26.075	65
