# Number of peaks = 2
# Fitting results:
# pktyp	 xm	 amp	 width	 area
# AG	 229.0	 0.05942 	 1.17	 0.1482
# AG	 230.6	 -0.05432 	 0.5899	 -0.05789
# 
# T	Hf	pksum	pk1	pk2
+2.1300E+02 +1.2005E-04 +2.5917E-22 +2.5917E-22 -0.0000E+00
+2.1333E+02 +2.3127E-04 +1.7827E-21 +1.7827E-21 -0.0000E+00
+2.1367E+02 +2.6078E-04 +1.1842E-20 +1.1842E-20 -0.0000E+00
+2.1400E+02 +2.3378E-04 +7.5106E-20 +7.5106E-20 -0.0000E+00
+2.1433E+02 +7.7607E-05 +4.5745E-19 +4.5745E-19 -0.0000E+00
+2.1467E+02 +1.9225E-05 +2.6897E-18 +2.6897E-18 -0.0000E+00
+2.1500E+02 -1.5624E-05 +1.5106E-17 +1.5106E-17 -0.0000E+00
+2.1533E+02 +0.0000E+00 +8.1472E-17 +8.1472E-17 -0.0000E+00
+2.1567E+02 +8.7317E-05 +4.2403E-16 +4.2403E-16 -0.0000E+00
+2.1600E+02 +1.3977E-04 +2.1087E-15 +2.1087E-15 -0.0000E+00
+2.1633E+02 +2.4702E-04 +1.0071E-14 +1.0071E-14 -0.0000E+00
+2.1667E+02 +1.9941E-04 +4.6394E-14 +4.6394E-14 -0.0000E+00
+2.1700E+02 +8.3109E-05 +2.0430E-13 +2.0430E-13 -0.0000E+00
+2.1733E+02 +8.8344E-05 +8.6393E-13 +8.6393E-13 -0.0000E+00
+2.1767E+02 +5.5827E-06 +3.5229E-12 +3.5229E-12 -0.0000E+00
+2.1800E+02 -2.7938E-04 +1.3736E-11 +1.3736E-11 -0.0000E+00
+2.1833E+02 -3.7608E-04 +5.1434E-11 +5.1434E-11 -0.0000E+00
+2.1867E+02 -2.9420E-04 +1.8564E-10 +1.8564E-10 -0.0000E+00
+2.1900E+02 -3.4774E-04 +6.4092E-10 +6.4092E-10 -0.0000E+00
+2.1933E+02 -4.6296E-05 +2.1248E-09 +2.1248E-09 -0.0000E+00
+2.1967E+02 +1.3878E-17 +6.7877E-09 +6.7877E-09 -0.0000E+00
+2.2000E+02 -1.9045E-05 +2.0747E-08 +2.0747E-08 -0.0000E+00
+2.2033E+02 -9.8427E-05 +6.0893E-08 +6.0893E-08 -0.0000E+00
+2.2067E+02 -1.3085E-04 +1.7213E-07 +1.7213E-07 -0.0000E+00
+2.2100E+02 -2.1044E-04 +4.6570E-07 +4.6570E-07 -0.0000E+00
+2.2133E+02 -3.2974E-04 +1.2097E-06 +1.2097E-06 -0.0000E+00
+2.2167E+02 -4.8179E-04 +3.0248E-06 +3.0248E-06 -0.0000E+00
+2.2200E+02 -5.5999E-04 +7.2401E-06 +7.2401E-06 -0.0000E+00
+2.2233E+02 -6.5727E-04 +1.6634E-05 +1.6634E-05 -0.0000E+00
+2.2267E+02 -6.6683E-04 +3.6763E-05 +3.6763E-05 -0.0000E+00
+2.2300E+02 -5.8171E-04 +7.7777E-05 +7.7777E-05 -0.0000E+00
+2.2333E+02 -2.9506E-04 +1.5787E-04 +1.5787E-04 -0.0000E+00
+2.2367E+02 +2.7756E-17 +3.0796E-04 +3.0796E-04 -0.0000E+00
+2.2400E+02 +4.1132E-04 +5.7493E-04 +5.7493E-04 -0.0000E+00
+2.2433E+02 +9.5052E-04 +1.0291E-03 +1.0291E-03 -0.0000E+00
+2.2467E+02 +1.9305E-03 +1.7684E-03 +1.7684E-03 -0.0000E+00
+2.2500E+02 +2.7634E-03 +2.9076E-03 +2.9076E-03 -0.0000E+00
+2.2533E+02 +3.9620E-03 +4.5816E-03 +4.5816E-03 -0.0000E+00
+2.2567E+02 +5.8398E-03 +6.9282E-03 +6.9282E-03 -0.0000E+00
+2.2600E+02 +9.3078E-03 +1.0034E-02 +1.0034E-02 -1.8299E-312
+2.2633E+02 +1.3079E-02 +1.3948E-02 +1.3948E-02 -3.5161E-216
+2.2667E+02 +1.8469E-02 +1.8656E-02 +1.8656E-02 -1.9876E-148
+2.2700E+02 +2.4485E-02 +2.4025E-02 +2.4025E-02 -2.9780E-101
+2.2733E+02 +3.0843E-02 +2.9917E-02 +2.9917E-02 -1.8415E-68
+2.2767E+02 +3.6958E-02 +3.6203E-02 +3.6203E-02 -9.2769E-46
+2.2800E+02 +4.3237E-02 +4.2734E-02 +4.2734E-02 -2.9055E-30
+2.2833E+02 +4.9795E-02 +4.9404E-02 +4.9404E-02 -9.2635E-20
+2.2867E+02 +5.5549E-02 +5.5716E-02 +5.5716E-02 -1.0054E-12
+2.2900E+02 +5.8904E-02 +5.9397E-02 +5.9397E-02 -3.9074E-08
+2.2933E+02 +5.2675E-02 +5.3576E-02 +5.3608E-02 -3.2060E-05
+2.2967E+02 +2.7583E-02 +2.7157E-02 +2.9017E-02 -1.8602E-03
+2.3000E+02 -1.3274E-02 -1.3700E-02 +3.5076E-03 -1.7208E-02
+2.3033E+02 -4.6875E-02 -4.5952E-02 +5.9832E-06 -4.5958E-02
+2.3067E+02 -5.1400E-02 -5.2731E-02 +7.2797E-14 -5.2731E-02
+2.3100E+02 -3.5254E-02 -3.4100E-02 +1.3716E-35 -3.4100E-02
+2.3133E+02 -1.4915E-02 -1.4953E-02 +6.9521E-94 -1.4953E-02
+2.3167E+02 -4.9592E-03 -5.0059E-03 +5.1789E-248 -5.0059E-03
+2.3200E+02 +1.0343E-04 -1.3949E-03 +0.0000E+00 -1.3949E-03
+2.3233E+02 +1.2963E-03 -3.3930E-04 +0.0000E+00 -3.3930E-04
+2.3267E+02 +1.2472E-03 -7.3917E-05 +0.0000E+00 -7.3917E-05
+2.3300E+02 +2.3953E-04 -1.4803E-05 +0.0000E+00 -1.4803E-05
+2.3333E+02 +0.0000E+00 -2.7342E-06 +0.0000E+00 -2.7342E-06
+2.3367E+02 -7.1579E-05 -4.6410E-07 +0.0000E+00 -4.6410E-07
+2.3400E+02 +4.6938E-05 -7.3011E-08 +0.0000E+00 -7.3011E-08
+2.3433E+02 -2.7756E-17 -1.0543E-08 +0.0000E+00 -1.0543E-08
+2.3467E+02 +5.8460E-05 -1.3804E-09 +0.0000E+00 -1.3804E-09
+2.3500E+02 +4.1978E-05 -1.6481E-10 +0.0000E+00 -1.6481E-10
+2.3533E+02 -4.9346E-05 -1.7714E-11 +0.0000E+00 -1.7714E-11
+2.3567E+02 +1.8248E-04 -1.6901E-12 +0.0000E+00 -1.6901E-12
+2.3600E+02 +8.6042E-05 -1.4423E-13 +0.0000E+00 -1.4423E-13
+2.3633E+02 -1.4007E-04 -1.0865E-14 +0.0000E+00 -1.0865E-14
+2.3667E+02 +2.7756E-17 -7.1251E-16 +0.0000E+00 -7.1251E-16
+2.3700E+02 +3.6248E-04 -4.1122E-17 +0.0000E+00 -4.1122E-17
+2.3733E+02 +3.6156E-04 -2.0625E-18 +0.0000E+00 -2.0625E-18
+2.3767E+02 +3.1183E-04 -8.8655E-20 +0.0000E+00 -8.8655E-20
+2.3800E+02 +1.9189E-04 -3.3155E-21 +0.0000E+00 -3.3155E-21
+2.3833E+02 +3.1710E-04 -1.0653E-22 +0.0000E+00 -1.0653E-22
+2.3867E+02 +2.9975E-04 -2.9003E-24 +0.0000E+00 -2.9003E-24
