# Number of peaks = 3
# Fitting results:
# pktyp	 xm	 amp	 width	 area
# G	 104.0	 0.1095 	 48.81	 4.318
# G	 188.7	 0.05379 	 83.16	 7.261
# G	 294.2	 0.02182 	 117.9	 4.491
# 
# T	dTG	pksum	pk1	pk2	pk3
+3.0000E+01 +0.0000E+00 +1.2563E-02 +1.1012E-02 +1.4074E-03 +1.4379E-04
+3.2000E+01 +1.0000E-03 +1.4144E-02 +1.2447E-02 +1.5418E-03 +1.5510E-04
+3.4000E+01 +1.7685E-03 +1.5877E-02 +1.4022E-02 +1.6872E-03 +1.6721E-04
+3.6000E+01 +7.4790E-03 +1.7768E-02 +1.5744E-02 +1.8441E-03 +1.8016E-04
+3.8000E+01 +1.3132E-02 +1.9825E-02 +1.7618E-02 +2.0132E-03 +1.9400E-04
+4.1000E+01 +1.8606E-02 +2.3232E-02 +2.0724E-02 +2.2915E-03 +2.1655E-04
+4.3000E+01 +2.4146E-02 +2.5724E-02 +2.2996E-02 +2.4945E-03 +2.3285E-04
+4.6000E+01 +2.9510E-02 +2.9799E-02 +2.6712E-02 +2.8270E-03 +2.5935E-04
+4.8000E+01 +3.4937E-02 +3.2741E-02 +2.9394E-02 +3.0685E-03 +2.7847E-04
+5.1000E+01 +4.0189E-02 +3.7488E-02 +3.3716E-02 +3.4625E-03 +3.0950E-04
+5.3000E+01 +4.5503E-02 +4.0870E-02 +3.6791E-02 +3.7475E-03 +3.3184E-04
+5.6000E+01 +5.0644E-02 +4.6252E-02 +4.1673E-02 +4.2104E-03 +3.6801E-04
+5.9000E+01 +5.5731E-02 +5.1974E-02 +4.6848E-02 +4.7181E-03 +4.0760E-04
+6.1000E+01 +6.0875E-02 +5.5957E-02 +5.0438E-02 +5.0828E-03 +4.3602E-04
+6.4000E+01 +6.5851E-02 +6.2145E-02 +5.5992E-02 +5.6711E-03 +4.8188E-04
+6.7000E+01 +7.0772E-02 +6.8532E-02 +6.1690E-02 +6.3111E-03 +5.3188E-04
+6.9000E+01 +7.6182E-02 +7.2866E-02 +6.5531E-02 +6.7675E-03 +5.6766E-04
+7.2000E+01 +8.1672E-02 +7.9420E-02 +7.1296E-02 +7.4986E-03 +6.2521E-04
+7.4000E+01 +8.7004E-02 +8.3786E-02 +7.5102E-02 +8.0177E-03 +6.6630E-04
+7.7000E+01 +9.2121E-02 +9.0264E-02 +8.0687E-02 +8.8454E-03 +7.3227E-04
+8.0000E+01 +9.7088E-02 +9.6571E-02 +8.6034E-02 +9.7331E-03 +8.0373E-04
+8.2000E+01 +1.0196E-01 +1.0063E-01 +8.9418E-02 +1.0359E-02 +8.5458E-04
+8.5000E+01 +1.0650E-01 +1.0644E-01 +9.4151E-02 +1.1349E-02 +9.3595E-04
+8.8000E+01 +1.1075E-01 +1.1181E-01 +9.8389E-02 +1.2402E-02 +1.0237E-03
+9.0000E+01 +1.1477E-01 +1.1512E-01 +1.0090E-01 +1.3138E-02 +1.0860E-03
+9.3000E+01 +1.1831E-01 +1.1960E-01 +1.0412E-01 +1.4295E-02 +1.1853E-03
+9.5000E+01 +1.2154E-01 +1.2223E-01 +1.0588E-01 +1.5100E-02 +1.2556E-03
+9.8000E+01 +1.2422E-01 +1.2562E-01 +1.0789E-01 +1.6358E-02 +1.3675E-03
+1.0100E+02 +1.2642E-01 +1.2828E-01 +1.0912E-01 +1.7674E-02 +1.4874E-03
+1.0400E+02 +1.2811E-01 +1.3019E-01 +1.0952E-01 +1.9047E-02 +1.6157E-03
+1.0600E+02 +1.2937E-01 +1.3103E-01 +1.0934E-01 +1.9993E-02 +1.7061E-03
+1.0900E+02 +1.2999E-01 +1.3167E-01 +1.0837E-01 +2.1452E-02 +1.8493E-03
+1.1200E+02 +1.3007E-01 +1.3157E-01 +1.0661E-01 +2.2959E-02 +2.0019E-03
+1.1400E+02 +1.2974E-01 +1.3110E-01 +1.0501E-01 +2.3987E-02 +2.1091E-03
+1.1700E+02 +1.2884E-01 +1.2984E-01 +1.0200E-01 +2.5561E-02 +2.2782E-03
+1.1900E+02 +1.2759E-01 +1.2866E-01 +9.9632E-02 +2.6628E-02 +2.3967E-03
+1.2200E+02 +1.2583E-01 +1.2641E-01 +9.5573E-02 +2.8252E-02 +2.5834E-03
+1.2500E+02 +1.2371E-01 +1.2367E-01 +9.0989E-02 +2.9897E-02 +2.7809E-03
+1.2700E+02 +1.2135E-01 +1.2161E-01 +8.7687E-02 +3.1001E-02 +2.9188E-03
+1.3000E+02 +1.1864E-01 +1.1824E-01 +8.2437E-02 +3.2665E-02 +3.1353E-03
+1.3200E+02 +1.1578E-01 +1.1584E-01 +7.8781E-02 +3.3774E-02 +3.2860E-03
+1.3500E+02 +1.1269E-01 +1.1209E-01 +7.3138E-02 +3.5431E-02 +3.5221E-03
+1.3700E+02 +1.0956E-01 +1.0953E-01 +6.9310E-02 +3.6529E-02 +3.6861E-03
+1.4000E+02 +1.0629E-01 +1.0564E-01 +6.3540E-02 +3.8156E-02 +3.9424E-03
+1.4300E+02 +1.0300E-01 +1.0177E-01 +5.7812E-02 +3.9752E-02 +4.2111E-03
+1.4600E+02 +9.9752E-02 +9.8003E-02 +5.2204E-02 +4.1307E-02 +4.4922E-03
+1.4800E+02 +9.6646E-02 +9.5570E-02 +4.8567E-02 +4.2316E-02 +4.6866E-03
+1.5100E+02 +9.3573E-02 +9.2077E-02 +4.3307E-02 +4.3781E-02 +4.9887E-03
+1.5400E+02 +9.0635E-02 +8.8809E-02 +3.8327E-02 +4.5179E-02 +5.3033E-03
+1.5600E+02 +8.7924E-02 +8.6770E-02 +3.5181E-02 +4.6069E-02 +5.5201E-03
+1.5900E+02 +8.5317E-02 +8.3935E-02 +3.0745E-02 +4.7334E-02 +5.8557E-03
+1.6100E+02 +8.2964E-02 +8.2199E-02 +2.7986E-02 +4.8127E-02 +6.0862E-03
+1.6400E+02 +8.0736E-02 +7.9828E-02 +2.4151E-02 +4.9235E-02 +6.4423E-03
+1.6600E+02 +7.8768E-02 +7.8401E-02 +2.1800E-02 +4.9915E-02 +6.6864E-03
+1.6900E+02 +7.6924E-02 +7.6483E-02 +1.8577E-02 +5.0843E-02 +7.0623E-03
+1.7200E+02 +7.5264E-02 +7.4815E-02 +1.5712E-02 +5.1654E-02 +7.4496E-03
+1.7400E+02 +7.3843E-02 +7.3833E-02 +1.3993E-02 +5.2126E-02 +7.7141E-03
+1.7700E+02 +7.2521E-02 +7.2534E-02 +1.1687E-02 +5.2727E-02 +8.1197E-03
+1.8000E+02 +7.1347E-02 +7.1420E-02 +9.6874E-03 +5.3197E-02 +8.5355E-03
+1.8200E+02 +7.0366E-02 +7.0766E-02 +8.5124E-03 +5.3436E-02 +8.8182E-03
+1.8500E+02 +6.9441E-02 +6.9896E-02 +6.9677E-03 +5.3678E-02 +9.2498E-03
+1.8700E+02 +6.8674E-02 +6.9377E-02 +6.0715E-03 +5.3763E-02 +9.5424E-03
+1.9000E+02 +6.7930E-02 +6.8669E-02 +4.9075E-03 +5.3774E-02 +9.9879E-03
+1.9300E+02 +6.7250E-02 +6.8022E-02 +3.9368E-03 +5.3644E-02 +1.0441E-02
+1.9600E+02 +6.6619E-02 +6.7411E-02 +3.1344E-03 +5.3376E-02 +1.0900E-02
+1.9800E+02 +6.6076E-02 +6.7012E-02 +2.6812E-03 +5.3122E-02 +1.1209E-02
+2.0100E+02 +6.5496E-02 +6.6412E-02 +2.1080E-03 +5.2627E-02 +1.1677E-02
+2.0400E+02 +6.4922E-02 +6.5796E-02 +1.6449E-03 +5.2002E-02 +1.2148E-02
+2.0600E+02 +6.4393E-02 +6.5368E-02 +1.3883E-03 +5.1515E-02 +1.2464E-02
+2.0900E+02 +6.3799E-02 +6.4692E-02 +1.0697E-03 +5.0683E-02 +1.2940E-02
+2.1200E+02 +6.3182E-02 +6.3968E-02 +8.1804E-04 +4.9734E-02 +1.3416E-02
+2.1500E+02 +6.2535E-02 +6.3189E-02 +6.2088E-04 +4.8677E-02 +1.3892E-02
+2.1700E+02 +6.1899E-02 +6.2637E-02 +5.1444E-04 +4.7915E-02 +1.4208E-02
+2.2000E+02 +6.1174E-02 +6.1758E-02 +3.8556E-04 +4.6693E-02 +1.4680E-02
+2.2300E+02 +6.0406E-02 +6.0819E-02 +2.8679E-04 +4.5384E-02 +1.5148E-02
+2.2600E+02 +5.9591E-02 +5.9819E-02 +2.1172E-04 +4.3997E-02 +1.5611E-02
+2.2800E+02 +5.8775E-02 +5.9121E-02 +1.7222E-04 +4.3033E-02 +1.5916E-02
+2.3100E+02 +5.7869E-02 +5.8030E-02 +1.2555E-04 +4.1538E-02 +1.6366E-02
+2.3400E+02 +5.6921E-02 +5.6889E-02 +9.0835E-05 +3.9990E-02 +1.6808E-02
+2.3700E+02 +5.5933E-02 +5.5704E-02 +6.5226E-05 +3.8399E-02 +1.7240E-02
+2.4000E+02 +5.4909E-02 +5.4482E-02 +4.6484E-05 +3.6776E-02 +1.7659E-02
+2.4200E+02 +5.3890E-02 +5.3650E-02 +3.6932E-05 +3.5681E-02 +1.7932E-02
+2.4500E+02 +5.2798E-02 +5.2380E-02 +2.5991E-05 +3.4025E-02 +1.8329E-02
