# Number of peaks = 8
# Fitting results:
# pktyp	 xm	 amp	 width	 area
# L	 47.31	 6020.0 	 0.07428	 697.9
# L	 47.44	 2970.0 	 0.0695	 321.9
# L	 56.13	 3130.0 	 0.0782	 383.5
# L	 56.28	 1670.0 	 0.07735	 202.3
# L	 69.13	 632.0 	 0.09931	 98.08
# L	 69.33	 340.0 	 0.09969	 52.96
# L	 76.37	 972.0 	 0.0974	 144.4
# L	 76.6	 553.0 	 0.09849	 82.74
# 
# 2theta	I	pksum	pk1	pk2	pk3	pk4	pk5	pk6	pk7	pk8
+4.0010E+01 +2.1062E+01 +2.5445E-01 +1.5599E-01 +6.5042E-02 +1.8425E-02 +9.4331E-03 +1.8374E-03 +9.8228E-04 +1.7435E-03 +1.0017E-03
+4.0040E+01 +2.0181E+01 +2.5639E-01 +1.5728E-01 +6.5570E-02 +1.8494E-02 +9.4680E-03 +1.8412E-03 +9.8429E-04 +1.7464E-03 +1.0033E-03
+4.0070E+01 +2.0201E+01 +2.5834E-01 +1.5859E-01 +6.6106E-02 +1.8563E-02 +9.5031E-03 +1.8450E-03 +9.8631E-04 +1.7493E-03 +1.0050E-03
+4.0100E+01 +6.7210E+00 +2.6032E-01 +1.5991E-01 +6.6647E-02 +1.8633E-02 +9.5383E-03 +1.8488E-03 +9.8834E-04 +1.7522E-03 +1.0066E-03
+4.0130E+01 +2.2941E+01 +2.6233E-01 +1.6125E-01 +6.7196E-02 +1.8703E-02 +9.5738E-03 +1.8527E-03 +9.9037E-04 +1.7551E-03 +1.0083E-03
+4.0160E+01 +9.4610E+00 +2.6436E-01 +1.6261E-01 +6.7751E-02 +1.8773E-02 +9.6095E-03 +1.8565E-03 +9.9241E-04 +1.7580E-03 +1.0100E-03
+4.0190E+01 +1.8481E+01 +2.6641E-01 +1.6398E-01 +6.8313E-02 +1.8844E-02 +9.6453E-03 +1.8604E-03 +9.9445E-04 +1.7609E-03 +1.0116E-03
+4.0220E+01 +8.6000E+00 +2.6849E-01 +1.6537E-01 +6.8882E-02 +1.8915E-02 +9.6814E-03 +1.8642E-03 +9.9650E-04 +1.7638E-03 +1.0133E-03
+4.0250E+01 +5.0210E+00 +2.7059E-01 +1.6678E-01 +6.9459E-02 +1.8987E-02 +9.7177E-03 +1.8681E-03 +9.9856E-04 +1.7667E-03 +1.0150E-03
+4.0280E+01 +1.6740E+01 +2.7272E-01 +1.6821E-01 +7.0042E-02 +1.9059E-02 +9.7541E-03 +1.8720E-03 +1.0006E-03 +1.7697E-03 +1.0166E-03
+4.0310E+01 +2.2160E+01 +2.7488E-01 +1.6965E-01 +7.0633E-02 +1.9131E-02 +9.7908E-03 +1.8759E-03 +1.0027E-03 +1.7726E-03 +1.0183E-03
+4.0340E+01 +2.5781E+01 +2.7706E-01 +1.7112E-01 +7.1232E-02 +1.9204E-02 +9.8277E-03 +1.8798E-03 +1.0048E-03 +1.7756E-03 +1.0200E-03
+4.0370E+01 +1.8600E+01 +2.7927E-01 +1.7260E-01 +7.1838E-02 +1.9277E-02 +9.8648E-03 +1.8837E-03 +1.0068E-03 +1.7785E-03 +1.0217E-03
+4.0400E+01 +2.3120E+01 +2.8151E-01 +1.7410E-01 +7.2452E-02 +1.9351E-02 +9.9021E-03 +1.8876E-03 +1.0089E-03 +1.7815E-03 +1.0234E-03
+4.0430E+01 +1.7739E+01 +2.8378E-01 +1.7563E-01 +7.3074E-02 +1.9425E-02 +9.9396E-03 +1.8916E-03 +1.0110E-03 +1.7845E-03 +1.0251E-03
+4.0460E+01 +2.9459E+01 +2.8607E-01 +1.7717E-01 +7.3703E-02 +1.9499E-02 +9.9773E-03 +1.8956E-03 +1.0131E-03 +1.7875E-03 +1.0268E-03
+4.0490E+01 +2.1380E+01 +2.8840E-01 +1.7873E-01 +7.4341E-02 +1.9574E-02 +1.0015E-02 +1.8995E-03 +1.0152E-03 +1.7904E-03 +1.0285E-03
+4.0520E+01 +3.6700E+01 +2.9075E-01 +1.8031E-01 +7.4988E-02 +1.9649E-02 +1.0053E-02 +1.9035E-03 +1.0174E-03 +1.7934E-03 +1.0302E-03
